School,SchoolCode,Grade,Prg,Total,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+
Alamo Es,413,K,GEN,1060,92,84,61,49,52,46,37,639
Alamo Es,413,K,MS,4,2,0,0,2,0,0,0,0
Alamo Es,413,01,GEN,49,9,6,2,4,5,0,4,19
Alamo Es,413,02,GEN,13,1,3,1,0,1,2,2,3
Alamo Es,413,03,GEN,17,5,4,0,0,3,1,2,2
Alamo Es,413,04,GEN,12,1,3,1,1,0,1,1,4
Alamo Es,413,05,GEN,13,3,4,0,0,1,2,1,2
Alamo Es,413,TOTAL,ALL,1168,113,104,65,56,62,52,47,669
Alvarado Es,420,K,GEN,944,48,82,58,58,60,65,61,512
Alvarado Es,420,K,IMMS,714,130,78,65,52,44,34,27,284
Alvarado Es,420,K,MS,4,1,1,2,0,0,0,0,0
Alvarado Es,420,01,GEN,31,3,4,4,1,3,1,0,15
Alvarado Es,420,01,IMMS,32,12,7,2,3,0,0,0,8
Alvarado Es,420,02,GEN,15,4,0,2,3,1,2,1,2
Alvarado Es,420,02,IMMS,5,2,1,1,1,0,0,0,0
Alvarado Es,420,03,GEN,19,4,3,4,2,0,2,1,3
Alvarado Es,420,03,IMMS,7,4,0,2,1,0,0,0,0
Alvarado Es,420,04,GEN,5,3,0,0,0,0,1,0,1
Alvarado Es,420,04,IMMS,5,3,1,0,1,0,0,0,0
Alvarado Es,420,05,GEN,6,1,0,1,1,2,0,1,0
Alvarado Es,420,05,IMMS,1,0,0,0,1,0,0,0,0
Alvarado Es,420,TOTAL,ALL,1788,215,177,141,124,110,105,91,825
Alvarado Tk,844,TK,GEN,191,91,47,19,17,12,3,2,0
Alvarado Tk,844,TOTAL,ALL,191,91,47,19,17,12,3,2,0
Argonne Es,435,TK,GEN,1,0,0,1,0,0,0,0,0
Argonne Es,435,K,GEN,1080,84,74,74,64,63,50,45,626
Argonne Es,435,01,GEN,50,4,5,9,1,4,3,0,24
Argonne Es,435,02,GEN,11,3,1,2,0,0,0,0,5
Argonne Es,435,03,GEN,17,1,6,1,2,1,0,1,5
Argonne Es,435,04,GEN,6,2,1,0,0,0,0,1,2
Argonne Es,435,05,GEN,11,3,0,2,0,0,1,2,3
Argonne Es,435,TOTAL,ALL,1176,97,87,89,67,68,54,49,665
Argonne Tk,845,TK,GEN,212,64,70,34,14,11,8,4,7
Argonne Tk,845,TOTAL,ALL,212,64,70,34,14,11,8,4,7
Bryant Es,456,K,GEN,149,10,9,5,7,4,2,3,109
Bryant Es,456,K,SPN,79,25,17,18,5,5,2,0,7
Bryant Es,456,01,GEN,5,0,0,0,0,0,0,0,5
Bryant Es,456,02,GEN,1,1,0,0,0,0,0,0,0
Bryant Es,456,03,GEN,3,1,1,0,0,0,0,0,1
Bryant Es,456,03,SPN,1,1,0,0,0,0,0,0,0
Bryant Es,456,04,GEN,1,0,1,0,0,0,0,0,0
Bryant Es,456,05,GEN,1,0,0,0,0,0,0,0,1
Bryant Es,456,TOTAL,ALL,240,38,28,23,12,9,4,3,123
Carmichael Tk,883,TK,GEN,54,14,5,6,6,7,7,2,7
Carmichael Tk,883,TOTAL,ALL,54,14,5,6,6,7,7,2,7
