School,SchoolCode,Grade,Prg,Total,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+
Alamo Es,413,K,GEN,1004,105,106,63,55,54,41,38,542
Alamo Es,413,K,SA,6,1,1,0,2,1,0,1,0
Alamo Es,413,01,GEN,16,1,0,4,0,2,0,1,8
Alamo Es,413,01,SA,1,1,0,0,0,0,0,0,0
Alamo Es,413,02,GEN,28,3,7,3,3,2,3,2,5
Alamo Es,413,03,GEN,16,2,6,3,2,1,1,1,0
Alamo Es,413,04,GEN,19,4,5,0,1,2,0,3,4
Alamo Es,413,05,GEN,13,2,4,0,0,1,2,1,3
Alamo Es,413,TOTAL,ALL,1103,119,129,73,63,63,47,47,562
Alvarado Es,420,K,GEN,874,64,82,55,66,59,69,53,426
Alvarado Es,420,K,IMMS,734,109,90,87,54,46,32,38,278
Alvarado Es,420,K,MS,3,2,1,0,0,0,0,0,0
Alvarado Es,420,01,GEN,24,4,3,4,2,0,2,2,7
Alvarado Es,420,01,IMMS,24,3,5,4,2,2,1,4,3
Alvarado Es,420,02,GEN,25,2,5,4,4,2,2,2,4
Alvarado Es,420,02,IMMS,7,4,0,1,2,0,0,0,0
Alvarado Es,420,03,GEN,19,0,5,3,4,0,1,1,5
Alvarado Es,420,03,IMMS,11,4,3,2,0,2,0,0,0
Alvarado Es,420,04,GEN,11,2,6,1,1,1,0,0,0
Alvarado Es,420,04,IMMS,2,0,1,0,1,0,0,0,0
Alvarado Es,420,05,GEN,2,0,0,0,0,0,1,1,0
Alvarado Es,420,05,IMMS,4,2,0,1,1,0,0,0,0
Alvarado Es,420,TOTAL,ALL,1740,196,201,162,137,112,108,101,723
Alvarado Tk,844,K,GEN,165,75,25,23,20,10,4,5,3
Alvarado Tk,844,TOTAL,ALL,165,75,25,23,20,10,4,5,3
Argonne Es,435,K,GEN,1069,97,96,91,59,51,65,55,555
Argonne Es,435,01,GEN,24,2,3,3,3,1,1,2,9
Argonne Es,435,02,GEN,32,10,5,4,3,1,2,0,7
Argonne Es,435,03,GEN,19,4,3,2,3,0,1,0,6
Argonne Es,435,04,GEN,16,5,2,2,2,1,0,0,4
Argonne Es,435,05,GEN,11,3,1,2,0,1,1,2,1
Argonne Es,435,TOTAL,ALL,1171,121,110,104,70,55,70,59,582
Argonne Tk,845,K,GEN,189,58,38,44,19,10,7,6,7
Argonne Tk,845,TOTAL,ALL,189,58,38,44,19,10,7,6,7
Bryant Es,456,K,GEN,145,7,18,8,5,3,2,4,98
Bryant Es,456,K,SPN,84,22,11,22,13,5,5,2,4
Bryant Es,456,01,GEN,1,0,0,0,0,0,0,0,1
Bryant Es,456,01,SPN,2,0,0,0,0,1,1,0,0
Bryant Es,456,02,GEN,1,1,0,0,0,0,0,0,0
Bryant Es,456,02,SPN,1,0,1,0,0,0,0,0,0
Bryant Es,456,03,SPN,1,0,0,1,0,0,0,0,0
Bryant Es,456,04,GEN,2,1,0,0,0,0,1,0,0
Bryant Es,456,05,GEN,1,1,0,0,0,0,0,0,0
Bryant Es,456,05,SPN,1,0,0,0,1,0,0,0,0
Bryant Es,456,TOTAL,ALL,239,32,30,31,19,9,9,6,103
Carver Es,625,K,GEN,82,12,3,0,1,0,0,0,66
Carver Es,625,01,GEN,1,0,0,0,0,0,0,0,1
Carver Es,625,04,GEN,1,1,0,0,0,0,0,0,0
Carver Es,625,TOTAL,ALL,84,13,3,0,1,0,0,0,67
Chavez Es,603,K,GEN,130,11,9,7,11,6,4,1,81
Chavez Es,603,K,DT,3,3,0,0,0,0,0,0,0
Chavez Es,603,K,SPN,89,20,28,16,11,6,3,1,4
Chavez Es,603,01,GEN,2,0,0,0,0,0,0,1,1
Chavez Es,603,01,SPN,4,1,0,3,0,0,0,0,0
Chavez Es,603,02,GEN,1,0,0,1,0,0,0,0,0
Chavez Es,603,02,SPN,2,0,1,1,0,0,0,0,0
Chavez Es,603,03,SPN,4,1,2,0,1,0,0,0,0
Chavez Es,603,04,GEN,1,1,0,0,0,0,0,0,0
Chavez Es,603,04,SPN,1,1,0,0,0,0,0,0,0
Chavez Es,603,05,SPN,4,0,1,2,1,0,0,0,0
Chavez Es,603,TOTAL,ALL,241,38,41,30,24,12,7,3,86
Chin Es,872,K,GEN,449,28,48,26,39,16,16,6,270
Chin Es,872,K,CHN,161,61,32,29,10,10,6,1,12
Chin Es,872,01,GEN,8,0,2,3,0,0,0,0,3
Chin Es,872,01,CHN,4,2,0,0,1,0,1,0,0
Chin Es,872,02,GEN,12,3,2,1,2,1,1,1,1
Chin Es,872,02,CHN,9,1,1,3,1,0,0,0,3
Chin Es,872,03,GEN,10,5,1,1,0,2,0,0,1
Chin Es,872,04,GEN,11,3,2,3,0,1,0,0,2
Chin Es,872,05,GEN,19,10,0,2,4,1,2,0,0
Chin Es,872,TOTAL,ALL,683,113,88,68,57,31,26,8,292
Chinese Ed Ctr Es,476,K,NEWC,1,0,1,0,0,0,0,0,0
Chinese Ed Ctr Es,476,TOTAL,ALL,1,0,1,0,0,0,0,0,0
Chinese Immersion Es,509,K,IMMC,614,81,68,45,39,25,17,21,318
Chinese Immersion Es,509,01,IMMC,22,4,7,3,2,0,1,1,4
Chinese Immersion Es,509,02,IMMC,2,1,1,0,0,0,0,0,0
Chinese Immersion Es,509,TOTAL,ALL,638,86,76,48,41,25,18,22,322
Clarendon Es,478,K,GEN,1575,186,191,211,184,164,150,96,393
Clarendon Es,478,K,JPN,717,95,120,66,51,49,54,45,237
Clarendon Es,478,K,MM,8,3,4,0,0,0,0,0,1
Clarendon Es,478,01,GEN,65,20,12,7,6,4,8,2,6
Clarendon Es,478,01,JPN,26,6,7,4,1,3,4,0,1
Clarendon Es,478,02,GEN,54,8,10,5,7,8,7,2,7
Clarendon Es,478,02,JPN,17,7,4,1,0,1,2,0,2
Clarendon Es,478,03,GEN,36,8,5,7,5,3,3,2,3
Clarendon Es,478,03,JPN,12,3,1,2,4,1,1,0,0
Clarendon Es,478,04,GEN,28,10,5,4,6,1,1,0,1
Clarendon Es,478,04,JPN,8,2,4,0,0,1,1,0,0
Clarendon Es,478,05,GEN,14,2,1,1,2,2,2,0,4
Clarendon Es,478,05,JPN,3,1,2,0,0,0,0,0,0
Clarendon Es,478,TOTAL,ALL,2563,351,366,308,266,237,233,147,655
Cleveland Es,481,K,GEN,140,12,10,6,14,4,6,4,84
Cleveland Es,481,K,SPN,82,23,17,20,7,7,0,4,4
Cleveland Es,481,01,GEN,2,0,0,0,0,0,0,0,2
Cleveland Es,481,01,SPN,4,1,2,0,1,0,0,0,0
Cleveland Es,481,03,GEN,2,1,0,1,0,0,0,0,0
Cleveland Es,481,03,SPN,2,1,0,1,0,0,0,0,0
Cleveland Es,481,04,GEN,1,1,0,0,0,0,0,0,0
Cleveland Es,481,04,SPN,3,0,1,1,1,0,0,0,0
Cleveland Es,481,05,SPN,2,0,1,0,1,0,0,0,0
Cleveland Es,481,TOTAL,ALL,238,39,31,29,24,11,6,8,90
Cobb Es,525,K,GEN,154,3,8,8,6,6,3,6,114
Cobb Es,525,01,GEN,1,0,0,0,0,0,0,0,1
Cobb Es,525,02,GEN,3,0,1,0,0,0,0,1,1
Cobb Es,525,03,GEN,1,0,0,0,0,0,1,0,0
Cobb Es,525,TOTAL,ALL,159,3,9,8,6,6,4,7,116
Drew Es,507,K,GEN,116,22,9,11,3,1,1,1,68
Drew Es,507,K,MM,2,2,0,0,0,0,0,0,0
Drew Es,507,01,GEN,3,1,0,0,1,0,0,0,1
Drew Es,507,04,GEN,1,0,1,0,0,0,0,0,0
Drew Es,507,05,GEN,1,0,0,0,0,0,0,0,1
Drew Es,507,TOTAL,ALL,123,25,10,11,4,1,1,1,70
Drew Tk,849,K,GEN,38,11,5,2,3,0,1,0,16
Drew Tk,849,TOTAL,ALL,38,11,5,2,3,0,1,0,16
El Dorado Es,521,K,GEN,103,10,9,8,6,0,2,4,64
El Dorado Es,521,01,GEN,1,0,0,0,0,0,0,0,1
El Dorado Es,521,03,GEN,1,0,0,0,1,0,0,0,0
El Dorado Es,521,04,GEN,2,0,1,0,0,0,0,0,1
El Dorado Es,521,TOTAL,ALL,107,10,10,8,7,0,2,4,66
Fairmount Es,537,K,IMMS,593,82,72,69,46,32,19,19,254
Fairmount Es,537,K,MS,4,1,2,0,1,0,0,0,0
Fairmount Es,537,01,IMMS,26,8,4,3,5,1,0,0,5
Fairmount Es,537,02,IMMS,8,4,2,2,0,0,0,0,0
Fairmount Es,537,03,IMMS,10,2,4,1,3,0,0,0,0
Fairmount Es,537,04,IMMS,12,3,6,2,1,0,0,0,0
Fairmount Es,537,05,IMMS,7,0,2,4,1,0,0,0,0
Fairmount Es,537,TOTAL,ALL,660,100,92,81,57,33,19,19,259
Feinstein Es,539,K,GEN,957,81,54,46,51,72,45,50,558
Feinstein Es,539,01,GEN,19,1,2,1,1,3,3,0,8
