School,SchoolCode,Grade,Prg,Total,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+
Alamo Es,413,K,GEN,558,97,88,71,58,44,33,48,119
Alamo Es,413,K,iGE,3,0,0,1,0,0,0,0,2
Alamo Es,413,01,GEN,35,9,6,2,6,3,3,0,6
Alamo Es,413,01,iGE,1,0,0,0,1,0,0,0,0
Alamo Es,413,02,GEN,21,7,2,5,3,1,1,1,1
Alamo Es,413,03,GEN,19,6,5,1,3,2,0,1,1
Alamo Es,413,04,GEN,11,1,1,2,1,3,1,1,1
Alamo Es,413,05,GEN,8,4,3,0,0,0,1,0,0
Alamo Es,413,TOTAL,ALL,656,124,105,82,72,53,39,51,130
Alvarado Es,420,K,GEN,488,50,68,43,63,49,47,45,123
Alvarado Es,420,K,iGE,11,3,0,2,2,2,0,2,0
Alvarado Es,420,K,IMMS,539,114,100,76,46,37,41,27,98
Alvarado Es,420,K,iSN,6,2,2,0,0,0,0,1,1
Alvarado Es,420,01,GEN,37,7,12,1,4,6,2,3,2
Alvarado Es,420,01,iGE,1,0,0,0,0,0,0,0,1
Alvarado Es,420,01,IMMS,40,19,6,6,3,4,2,0,0
Alvarado Es,420,01,iSN,1,0,1,0,0,0,0,0,0
Alvarado Es,420,02,GEN,24,6,3,3,2,4,1,3,2
Alvarado Es,420,02,IMMS,6,2,2,1,0,1,0,0,0
Alvarado Es,420,03,GEN,14,2,1,2,3,2,1,1,2
Alvarado Es,420,03,IMMS,7,1,2,3,1,0,0,0,0
Alvarado Es,420,04,GEN,9,2,0,1,2,1,2,0,1
Alvarado Es,420,04,IMMS,11,6,5,0,0,0,0,0,0
Alvarado Es,420,05,GEN,7,1,2,1,1,1,0,0,1
Alvarado Es,420,05,IMMS,4,0,4,0,0,0,0,0,0
Alvarado Es,420,TOTAL,ALL,1205,215,208,139,127,107,96,82,231
Argonne Es,435,K,GEN,542,85,77,87,42,48,42,43,118
Argonne Es,435,K,iGE,6,1,0,0,1,1,1,0,2
Argonne Es,435,01,GEN,32,7,7,4,2,2,1,3,6
Argonne Es,435,02,GEN,17,5,1,2,2,1,0,0,6
Argonne Es,435,03,GEN,11,1,1,2,3,0,0,0,4
Argonne Es,435,04,GEN,11,4,1,2,1,0,0,0,3
Argonne Es,435,05,GEN,3,0,1,1,0,1,0,0,0
Argonne Es,435,TOTAL,ALL,622,103,88,98,51,53,44,46,139
Bryant Es,456,K,GEN,42,13,10,5,6,3,1,1,3
