School,SchoolCode,Grade,Prg,Total,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+
Chavez Es,603,02,SPN,3,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Chavez Es,603,03,SPN,4,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
Chavez Es,603,04,GEN,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chavez Es,603,04,SPN,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Chavez Es,603,05,SPN,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Chavez Es,603,TOTAL,ALL,238,33.0,26.0,31.0,14.0,11.0,10.0,4.0,109.0
Chin Es,872,K,GEN,514,20.0,42.0,22.0,22.0,17.0,30.0,17.0,344.0
Chin Es,872,K,CHN,135,49.0,21.0,26.0,7.0,9.0,8.0,1.0,14.0
Chin Es,872,01,GEN,12,2.0,1.0,0.0,3.0,0.0,2.0,0.0,4.0
Chin Es,872,01,CHN,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Chin Es,872,02,GEN,19,0.0,3.0,1.0,1.0,1.0,4.0,3.0,6.0
Chin Es,872,02,CHN,11,2.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0
Chin Es,872,03,GEN,12,6.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
Chin Es,872,04,GEN,10,4.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0
Chin Es,872,05,GEN,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Chin Es,872,TOTAL,ALL,718,85.0,71.0,53.0,34.0,33.0,45.0,23.0,374.0
Chin Es,872,555,Franklin,100,94102.0,,,,,,,
Chinese Ed Ctr Es,476,K,NEWC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Chinese Ed Ctr Es,476,TOTAL,ALL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Chinese Immersion Es,509,K,IMMC,634,65.0,60.0,53.0,40.0,33.0,18.0,25.0,340.0
Chinese Immersion Es,509,01,IMMC,29,2.0,3.0,2.0,3.0,3.0,0.0,3.0,13.0
Chinese Immersion Es,509,02,IMMC,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Chinese Immersion Es,509,05,IMMC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Chinese Immersion Es,509,TOTAL,ALL,666,67.0,63.0,55.0,44.0,36.0,18.0,28.0,355.0
Clarendon Es,478,K,GEN,1610,144.0,165.0,193.0,172.0,171.0,150.0,136.0,479.0
Clarendon Es,478,K,JPN,715,62.0,117.0,82.0,90.0,49.0,47.0,38.0,230.0
Clarendon Es,478,K,MM,5,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Clarendon Es,478,01,GEN,104,23.0,21.0,18.0,10.0,8.0,5.0,4.0,15.0
Clarendon Es,478,01,JPN,36,9.0,7.0,8.0,5.0,2.0,0.0,0.0,5.0
Clarendon Es,478,02,GEN,57,17.0,8.0,6.0,8.0,7.0,3.0,3.0,5.0
Clarendon Es,478,02,JPN,13,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0
Clarendon Es,478,03,GEN,43,12.0,9.0,8.0,3.0,1.0,1.0,6.0,3.0
Clarendon Es,478,03,JPN,5,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Clarendon Es,478,04,GEN,35,9.0,8.0,5.0,5.0,4.0,1.0,1.0,2.0
Clarendon Es,478,04,JPN,6,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Clarendon Es,478,05,GEN,21,6.0,4.0,6.0,0.0,2.0,0.0,0.0,3.0
Clarendon Es,478,05,JPN,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Clarendon Es,478,TOTAL,ALL,2652,294.0,344.0,330.0,296.0,246.0,209.0,190.0,743.0
Cleveland Es,481,K,GEN,133,7.0,15.0,9.0,8.0,2.0,3.0,2.0,87.0
Cleveland Es,481,K,SPN,58,17.0,15.0,11.0,6.0,6.0,1.0,0.0,2.0
Cleveland Es,481,01,GEN,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Cleveland Es,481,01,SPN,5,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Cleveland Es,481,02,GEN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cleveland Es,481,02,SPN,4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Cleveland Es,481,03,SPN,4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Cleveland Es,481,04,SPN,4,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Cleveland Es,481,05,SPN,3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Cleveland Es,481,TOTAL,ALL,214,25.0,41.0,27.0,14.0,9.0,4.0,2.0,92.0
Cobb Es,525,K,GEN,198,7.0,6.0,8.0,3.0,8.0,3.0,5.0,158.0
Cobb Es,525,01,GEN,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Cobb Es,525,02,GEN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cobb Es,525,03,GEN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cobb Es,525,TOTAL,ALL,205,7.0,6.0,8.0,3.0,8.0,3.0,5.0,165.0
Cobb Es,525,555,Franklin,100,94102.0,,,,,,,
Drew Es,507,K,GEN,126,19.0,6.0,8.0,4.0,1.0,1.0,2.0,85.0
Drew Es,507,01,GEN,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Drew Es,507,03,GEN,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Es,507,TOTAL,ALL,130,20.0,6.0,8.0,5.0,1.0,1.0,2.0,87.0
Drew Tk,849,TK,GEN,36,11.0,5.0,4.0,2.0,0.0,0.0,1.0,13.0
Drew Tk,849,TOTAL,ALL,36,11.0,5.0,4.0,2.0,0.0,0.0,1.0,13.0
El Dorado Es,521,K,GEN,114,8.0,8.0,5.0,2.0,5.0,2.0,0.0,84.0
El Dorado Es,521,01,GEN,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
El Dorado Es,521,02,GEN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
El Dorado Es,521,03,GEN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
El Dorado Es,521,TOTAL,ALL,120,10.0,9.0,5.0,2.0,5.0,2.0,0.0,87.0
Fairmount Es,537,K,IMMS,570,51.0,50.0,56.0,34.0,35.0,18.0,19.0,307.0
Fairmount Es,537,K,MS,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Fairmount Es,537,01,IMMS,34,6.0,7.0,10.0,4.0,0.0,0.0,0.0,7.0
Fairmount Es,537,02,IMMS,13,1.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0
Fairmount Es,537,03,IMMS,25,4.0,9.0,8.0,4.0,0.0,0.0,0.0,0.0
Fairmount Es,537,04,IMMS,12,2.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0
Fairmount Es,537,05,IMMS,16,4.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0
Fairmount Es,537,TOTAL,ALL,672,68.0,76.0,96.0,45.0,36.0,18.0,19.0,314.0
Feinstein Es,539,K,GEN,1093,75.0,57.0,69.0,57.0,67.0,41.0,37.0,690.0
Feinstein Es,539,01,GEN,43,2.0,2.0,1.0,3.0,5.0,3.0,3.0,24.0
Feinstein Es,539,02,GEN,18,1.0,2.0,0.0,1.0,3.0,0.0,1.0,10.0
Feinstein Es,539,03,GEN,18,0.0,1.0,1.0,0.0,2.0,2.0,2.0,10.0
Feinstein Es,539,04,GEN,9,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0
Feinstein Es,539,05,GEN,4,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
Feinstein Es,539,TOTAL,ALL,1185,79.0,62.0,73.0,63.0,80.0,47.0,45.0,736.0
Feinstein Es,539,555,Franklin,100,94102.0,,,,,,,
Flynn Es,680,K,GEN,203,14.0,11.0,6.0,10.0,5.0,5.0,5.0,147.0
Flynn Es,680,K,IMMS,274,32.0,21.0,22.0,23.0,14.0,12.0,8.0,142.0
Flynn Es,680,01,GEN,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Flynn Es,680,01,IMMS,11,0.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0
Flynn Es,680,02,GEN,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Flynn Es,680,02,IMMS,3,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Flynn Es,680,03,GEN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Flynn Es,680,03,IMMS,7,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0
Flynn Es,680,04,GEN,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Flynn Es,680,04,IMMS,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Flynn Es,680,05,IMMS,3,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Flynn Es,680,TOTAL,ALL,514,47.0,36.0,32.0,40.0,24.0,19.0,14.0,302.0
Flynn Tk,880,TK,GEN,101,20.0,24.0,17.0,13.0,4.0,6.0,7.0,10.0
Flynn Tk,880,TOTAL,ALL,101,20.0,24.0,17.0,13.0,4.0,6.0,7.0,10.0
Garfield Es,562,K,GEN,334,10.0,16.0,6.0,11.0,5.0,5.0,11.0,270.0
Garfield Es,562,K,IMMC,201,15.0,10.0,14.0,11.0,6.0,11.0,7.0,127.0
Garfield Es,562,01,GEN,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
Garfield Es,562,01,IMMC,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
Garfield Es,562,02,GEN,7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0
Garfield Es,562,02,IMMC,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Garfield Es,562,03,GEN,3,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Garfield Es,562,03,IMMC,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Garfield Es,562,04,GEN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Garfield Es,562,05,GEN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Garfield Es,562,05,CHN,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garfield Es,562,TOTAL,ALL,560,27.0,31.0,21.0,24.0,13.0,16.0,20.0,408.0
Glen Park Es,575,K,GEN,596,34.0,47.0,34.0,34.0,37.0,28.0,29.0,353.0
Glen Park Es,575,K,SA,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Glen Park Es,575,K,SPN,54,17.0,7.0,9.0,4.0,4.0,1.0,3.0,9.0
Glen Park Es,575,01,GEN,24,0.0,4.0,1.0,6.0,1.0,2.0,1.0,9.0
Glen Park Es,575,01,SPN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Glen Park Es,575,02,GEN,10,0.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0
Glen Park Es,575,02,SPN,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Glen Park Es,575,03,GEN,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Glen Park Es,575,04,GEN,10,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0
Glen Park Es,575,05,GEN,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Glen Park Es,575,TOTAL,ALL,702,56.0,65.0,47.0,46.0,43.0,31.0,33.0,381.0
Glen Park Es,575,555,Franklin,100,94102.0,,,,,,,
Grattan Es,589,K,GEN,1457,147.0,129.0,132.0,153.0,127.0,144.0,109.0,516.0
Grattan Es,589,K,SA,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grattan Es,589,01,GEN,90,20.0,19.0,6.0,11.0,11.0,7.0,8.0,8.0
Grattan Es,589,02,GEN,38,6.0,7.0,9.0,1.0,4.0,7.0,1.0,3.0
Grattan Es,589,03,GEN,38,9.0,8.0,3.0,6.0,4.0,6.0,0.0,2.0
Grattan Es,589,04,GEN,28,7.0,5.0,5.0,1.0,2.0,4.0,0.0,4.0
Grattan Es,589,05,GEN,22,7.0,8.0,2.0,2.0,0.0,0.0,0.0,3.0
Grattan Es,589,TOTAL,ALL,1679,202.0,176.0,157.0,174.0,148.0,168.0,118.0,536.0
Guadalupe Es,593,K,GEN,152,20.0,15.0,8.0,8.0,4.0,1.0,3.0,93.0
Guadalupe Es,593,K,SPN,42,14.0,5.0,9.0,6.0,2.0,3.0,1.0,2.0
Guadalupe Es,593,01,GEN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Guadalupe Es,593,01,SPN,6,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Guadalupe Es,593,03,SPN,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guadalupe Es,593,05,SPN,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guadalupe Es,593,TOTAL,ALL,205,37.0,21.0,20.0,17.0,6.0,4.0,4.0,96.0
Harte Es,453,K,GEN,96,7.0,8.0,4.0,1.0,1.0,1.0,0.0,74.0
Harte Es,453,K,IMMS,55,9.0,1.0,3.0,1.0,0.0,0.0,0.0,41.0
Harte Es,453,01,GEN,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Harte Es,453,01,IMMS,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Harte Es,453,02,GEN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Harte Es,453,02,IMMS,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harte Es,453,03,GEN,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Harte Es,453,TOTAL,ALL,161,19.0,10.0,8.0,2.0,1.0,2.0,0.0,119.0
Harte Tk,705,TK,GEN,25,2.0,4.0,2.0,2.0,2.0,1.0,0.0,12.0
Harte Tk,705,TOTAL,ALL,25,2.0,4.0,2.0,2.0,2.0,1.0,0.0,12.0
Harte Tk,705,555,Franklin,100,94102.0,,,,,,,
Hillcrest Es,614,K,GEN,196,12.0,15.0,6.0,17.0,8.0,8.0,5.0,125.0
Hillcrest Es,614,K,CHN,37,3.0,3.0,11.0,4.0,6.0,0.0,2.0,8.0
Hillcrest Es,614,K,MM,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hillcrest Es,614,K,SPN,48,10.0,15.0,11.0,1.0,1.0,3.0,1.0,6.0
Hillcrest Es,614,01,GEN,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
Hillcrest Es,614,01,SPN,5,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Hillcrest Es,614,02,GEN,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Hillcrest Es,614,02,SPN,3,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
Hillcrest Es,614,03,GEN,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hillcrest Es,614,03,CHN,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hillcrest Es,614,03,SPN,3,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
Hillcrest Es,614,04,GEN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hillcrest Es,614,05,GEN,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hillcrest Es,614,05,CHN,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hillcrest Es,614,05,SPN,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Hillcrest Es,614,TOTAL,ALL,309,30.0,33.0,33.0,23.0,23.0,14.0,8.0,145.0
Jefferson Es,644,K,GEN,1162,47.0,63.0,59.0,64.0,71.0,73.0,77.0,708.0
Jefferson Es,644,K,AF,5,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson Es,644,01,GEN,47,3.0,4.0,2.0,3.0,4.0,7.0,7.0,17.0
Jefferson Es,644,02,GEN,29,5.0,2.0,0.0,1.0,2.0,2.0,3.0,14.0
Jefferson Es,644,03,GEN,16,1.0,2.0,1.0,1.0,1.0,1.0,2.0,7.0
Jefferson Es,644,04,GEN,12,0.0,1.0,0.0,0.0,2.0,0.0,3.0,6.0
Jefferson Es,644,05,GEN,17,1.0,5.0,2.0,2.0,3.0,1.0,2.0,1.0
Jefferson Es,644,TOTAL,ALL,1288,59.0,80.0,64.0,71.0,83.0,84.0,94.0,753.0
Key Es,544,K,GEN,859,48.0,46.0,38.0,37.0,27.0,41.0,37.0,585.0
Key Es,544,K,MM,5,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Key Es,544,K,MS,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Key Es,544,01,GEN,22,0.0,2.0,3.0,3.0,1.0,2.0,1.0,10.0
Key Es,544,01,MM,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Key Es,544,02,GEN,16,0.0,2.0,2.0,1.0,0.0,1.0,0.0,10.0
Key Es,544,03,GEN,14,0.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0
Key Es,544,04,GEN,7,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0
Key Es,544,05,GEN,10,1.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0
Key Es,544,TOTAL,ALL,935,51.0,54.0,50.0,46.0,30.0,45.0,41.0,618.0
Key Es,544,555,Franklin,100,94102.0,,,,,,,
Lafayette Es,664,K,GEN,1023,91.0,54.0,64.0,43.0,47.0,44.0,44.0,636.0
Lafayette Es,664,K,DA,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lafayette Es,664,01,GEN,30,6.0,2.0,0.0,0.0,1.0,3.0,0.0,18.0
Lafayette Es,664,02,GEN,26,1.0,1.0,7.0,2.0,1.0,3.0,0.0,11.0
Lafayette Es,664,03,GEN,23,6.0,2.0,5.0,0.0,1.0,2.0,1.0,6.0
Lafayette Es,664,04,GEN,17,1.0,1.0,2.0,3.0,2.0,1.0,1.0,6.0
Lafayette Es,664,05,GEN,10,0.0,1.0,1.0,1.0,0.0,2.0,0.0,5.0
Lafayette Es,664,TOTAL,ALL,1133,109.0,61.0,79.0,49.0,52.0,55.0,46.0,682.0
Lakeshore Es,670,K,GEN,593,51.0,27.0,22.0,22.0,24.0,16.0,16.0,415.0
Lakeshore Es,670,K,AF,6,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Lakeshore Es,670,01,GEN,22,2.0,1.0,0.0,1.0,4.0,3.0,2.0,9.0
Lakeshore Es,670,02,GEN,10,0.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0
Lakeshore Es,670,03,GEN,9,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0
Lakeshore Es,670,04,GEN,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Lakeshore Es,670,TOTAL,ALL,643,59.0,32.0,24.0,24.0,28.0,19.0,20.0,437.0
Lau Es,490,K,GEN,387,16.0,37.0,17.0,27.0,6.0,15.0,7.0,262.0
Lau Es,490,K,CHN,136,49.0,18.0,24.0,13.0,9.0,6.0,3.0,14.0
Lau Es,490,01,GEN,5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
Lau Es,490,01,CHN,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lau Es,490,02,GEN,20,4.0,5.0,0.0,3.0,0.0,3.0,1.0,4.0
Lau Es,490,02,CHN,14,3.0,4.0,3.0,1.0,2.0,0.0,1.0,0.0
Lau Es,490,03,GEN,9,0.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0
Lau Es,490,03,CHN,7,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Lau Es,490,04,GEN,5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Lau Es,490,04,CHN,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lau Es,490,05,GEN,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Lau Es,490,05,CHN,4,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
Lau Es,490,TOTAL,ALL,593,79.0,71.0,52.0,48.0,20.0,27.0,12.0,284.0
Lilienthal K-8,479,K,GEN,1229,176.0,172.0,113.0,91.0,79.0,48.0,53.0,497.0
Lilienthal K-8,479,K,IMMK,378,39.0,26.0,22.0,22.0,10.0,16.0,8.0,235.0
Lilienthal K-8,479,01,GEN,52,10.0,13.0,11.0,2.0,0.0,2.0,4.0,10.0
Lilienthal K-8,479,01,IMMK,10,2.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0
Lilienthal K-8,479,02,GEN,27,6.0,7.0,2.0,2.0,3.0,1.0,0.0,6.0
Lilienthal K-8,479,02,IMMK,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lilienthal K-8,479,03,GEN,30,6.0,5.0,3.0,2.0,2.0,2.0,2.0,8.0
Lilienthal K-8,479,04,GEN,31,11.0,6.0,5.0,1.0,0.0,0.0,0.0,8.0
Lilienthal K-8,479,05,GEN,18,7.0,4.0,0.0,0.0,2.0,1.0,1.0,3.0
Lilienthal K-8,479,06,GEN,197,32.0,47.0,26.0,28.0,28.0,10.0,14.0,12.0
Lilienthal K-8,479,07,GEN,13,3.0,6.0,1.0,2.0,0.0,1.0,0.0,0.0
Lilienthal K-8,479,08,GEN,3,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Lilienthal K-8,479,TOTAL,ALL,1989,293.0,288.0,185.0,151.0,125.0,82.0,83.0,782.0
Lilienthal K-8,479,555,Franklin,100,94102.0,,,,,,,
Longfellow Es,691,K,GEN,200,24.0,17.0,3.0,8.0,5.0,2.0,4.0,137.0
Longfellow Es,691,K,FIL,28,3.0,2.0,0.0,0.0,1.0,1.0,0.0,21.0
Longfellow Es,691,K,MM,3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
