School,SchoolCode,Grade,Prg,Total,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+
Alamo Es,413,K,GEN,691,100,89,83,56,47,47,37,232
Alamo Es,413,K,MS,2,1,0,0,1,0,0,0,0
Alamo Es,413,01,GEN,36,6,4,8,2,2,4,1,9
Alamo Es,413,02,GEN,17,2,4,1,0,2,0,2,6
Alamo Es,413,03,GEN,16,8,3,1,0,0,1,0,3
Alamo Es,413,04,GEN,15,2,4,3,2,0,0,1,3
Alamo Es,413,05,GEN,4,1,1,0,1,0,1,0,0
Alvarado Es,420,K,GEN,609,66,73,51,68,59,52,58,182
Alvarado Es,420,K,IMMS,559,105,104,76,54,45,35,32,108
Alvarado Es,420,K,MS,7,4,3,0,0,0,0,0,0
Alvarado Es,420,01,GEN,31,3,1,5,2,5,6,3,6
Alvarado Es,420,01,IMMS,28,12,6,4,3,0,0,2,1
Alvarado Es,420,01,MS,1,1,0,0,0,0,0,0,0
Alvarado Es,420,02,GEN,16,3,3,4,1,4,1,0,0
Alvarado Es,420,02,IMMS,4,1,2,0,1,0,0,0,0
Alvarado Es,420,03,GEN,12,4,3,0,0,3,0,0,2
Alvarado Es,420,03,IMMS,7,2,1,0,2,2,0,0,0
Alvarado Es,420,03,MS,2,2,0,0,0,0,0,0,0
Alvarado Es,420,04,GEN,9,2,1,2,3,1,0,0,0
Alvarado Es,420,04,IMMS,5,2,1,1,0,1,0,0,0
Alvarado Es,420,05,GEN,5,0,2,0,3,0,0,0,0
Alvarado Es,420,05,IMMS,1,1,0,0,0,0,0,0,0
Argonne Es,435,K,GEN,736,95,83,86,76,47,50,45,254
Argonne Es,435,01,GEN,30,7,5,1,2,2,4,2,7
Argonne Es,435,02,GEN,16,4,4,1,2,0,1,0,4
Argonne Es,435,03,GEN,10,3,2,1,2,0,1,0,1
Argonne Es,435,04,GEN,10,3,3,1,1,1,0,0,1
Argonne Es,435,05,GEN,3,2,0,0,0,1,0,0,0
Argonne Tk,845,K,GEN,116,49,47,10,6,4,0,0,0
Bryant Es,456,K,GEN,58,9,7,8,8,7,4,2,13
Bryant Es,456,K,SPN,74,23,16,12,10,4,2,5,2
Bryant Es,456,01,GEN,1,0,0,0,1,0,0,0,0
Bryant Es,456,01,SPN,2,1,1,0,0,0,0,0,0
Bryant Es,456,02,SPN,1,0,1,0,0,0,0,0,0
Bryant Es,456,03,SPN,1,0,1,0,0,0,0,0,0
Bryant Es,456,04,GEN,2,2,0,0,0,0,0,0,0
Bryant Es,456,04,SPN,1,0,0,1,0,0,0,0,0
Bryant Es,456,05,SPN,1,0,0,0,1,0,0,0,0
Carver Es,625,K,GEN,35,7,9,3,4,1,1,2,8
Carver Es,625,01,GEN,1,1,0,0,0,0,0,0,0
Carver Es,625,04,GEN,1,1,0,0,0,0,0,0,0
